date	LOS F	LOS E	LOS D	LOS C	LOS B	LOS A	CAPACITY	DEMAND
2015	1178	252	252	252	421	4644	1574	1683
2016	1212	260	260	260	433	4575	1574	1732
2017	1247	267	267	267	445	4507	1646	1781
2018	1281	274	274	274	457	4439	1811	1830
2019	1316	282	282	282	470	4368	1811	1880
2020	1351	290	290	290	483	4297	1811	1931
2021	1388	297	297	297	496	4225	1811	1982
2022	1424	305	305	305	509	4151	2182	2035
2023	1462	313	313	313	522	4077	2250	2088
2024	1499	321	321	321	536	4001	2250	2142
2025	1538	330	330	330	549	3925	2250	2197
2026	1576	338	338	338	563	3847	2250	2252
2027	1613	346	346	346	576	3775	2250	2304
2028	1646	353	353	353	588	3708	2250	2351
2029	1677	359	359	359	599	3646	2250	2396
2030	1708	366	366	366	610	3584	2780	2440
2031	1753	376	376	376	626	3494	2780	2505
2032	1797	385	385	385	642	3407	2780	2567
2033	1840	394	394	394	657	3320	2780	2629
2034	1882	403	403	403	672	3236	2780	2688
2035	1923	412	412	412	687	3154	2780	2747
2036	1964	421	421	421	701	3072	2780	2806
2037	2003	429	429	429	715	2994	2780	2861
2038	2041	437	437	437	729	2917	3517	2916
2039	2080	446	446	446	743	2841	3517	2971
2040	2117	454	454	454	756	2765	3517	3025
2041	2155	462	462	462	770	2690	3517	3079
2042	2192	470	470	470	783	2616	3517	3132
2043	2229	478	478	478	796	2542	3517	3184
2044	2266	485	485	485	809	2469	3517	3237
