date	DEMAND	PROVISION
2015	7146	7145
2016	7471	7960
2017	7796	8320
2018	8122	8320
2019	8447	9620
2020	8772	9620
2021	9060	9620
2022	9358	11970
2023	9666	11970
2024	9984	11970
2025	10312	13290
2026	10651	13290
2027	11002	13290
2028	11364	13290
2029	11739	13190
2030	12125	13190
2031	12483	13190
2032	12846	12470
2033	13214	13970
2034	13588	15670
2035	13967	15670
2036	14352	15670
2037	14742	15670
2038	15137	15670
2039	15538	15670
2040	15944	15670
2041	16203	15670
2042	16456	15670
2043	16818	15515
2044	17181	15515
