date	LOS F	LOS E	LOS D	LOS C	LOS B	LOS A	CAPACITY	DEMAND
2015	1225	262	262	262	437	4551	1630	1749
2016	1262	270	270	270	451	4476	1630	1803
2017	1300	278	278	278	464	4401	1707	1857
2018	1337	286	286	286	477	4326	1884	1910
2019	1375	295	295	295	491	4249	1884	1965
2020	1485	318	318	318	530	4030	1884	2121
2021	1527	327	327	327	545	3947	1884	2181
2022	1569	336	336	336	560	3862	2282	2241
2023	1612	345	345	345	576	3777	2355	2302
2024	1655	355	355	355	591	3690	2355	2364
2025	1618	347	347	347	578	3764	2355	2312
2026	1661	356	356	356	593	3679	2355	2372
2027	1700	364	364	364	607	3599	2355	2429
2028	1737	372	372	372	620	3525	2355	2482
2029	1772	380	380	380	633	3456	2355	2531
2030	1806	387	387	387	645	3388	2940	2580
2031	1865	400	400	400	666	3271	2940	2664
2032	1922	412	412	412	686	3157	2940	2745
2033	1979	424	424	424	707	3042	2940	2827
2034	2035	436	436	436	727	2929	2940	2908
2035	2092	448	448	448	747	2817	2940	2988
2036	2148	460	460	460	767	2704	2940	3069
2037	2203	472	472	472	787	2595	2940	3147
2038	2258	484	484	484	806	2485	3933	3225
2039	2313	496	496	496	826	2375	3933	3304
2040	2368	507	507	507	846	2264	3933	3383
2041	2423	519	519	519	865	2154	3933	3461
2042	2478	531	531	531	885	2043	3933	3541
2043	2534	543	543	543	905	1932	3933	3620
2044	2590	555	555	555	925	1820	3933	3700
