date	DOMESTIC	INTERNATIONAL	REMOTE	TARGET
2015	29	12	17	59
2016	29	12	17	60
2017	29	15	14	61
2018	29	15	17	62
2019	29	15	17	63
2020	29	15	17	64
2021	35	15	13	65
2022	35	15	13	66
2023	35	15	13	67
2024	35	15	13	68
2025	35	18	10	68
2026	35	21	7	69
2027	35	21	7	70
2028	35	21	7	71
2029	35	21	7	72
2030	28	21	7	73
2031	35	21	7	75
2032	35	21	7	76
2033	35	26	7	78
2034	41	26	7	79
2035	41	26	7	81
2036	41	26	7	82
2037	41	26	7	84
2038	41	26	7	86
2039	41	26	7	87
2040	41	26	7	89
2041	41	41	4	90
2042	41	41	4	91
2043	41	41	4	92
2044	44	41	4	94
