date	DOMESTIC	INTERNATIONAL	REMOTE	TARGET
2015	29	12	17	59.34128234
2016	29	12	17	60.21732391
2017	29	12	17	61.08881609
2018	29	12	20	62.01283654
2019	29	12	20	62.96369926
2020	29	15	17	63.94426763
2021	35	15	13	64.95562226
2022	35	15	13	66
2023	35	15	13	66.78161547
2024	35	15	13	67.58790052
2025	35	18	10	68.41961714
2026	35	21	7	69.27842029
2027	35	21	7	70.16507196
2028	35	21	7	71.08033415
2029	35	21	7	72.02586181
2030	28	21	7	73
2031	35	21	7	74.51712899
2032	35	21	7	76.05896671
2033	35	26	7	77.62301318
2034	41	26	7	79.20926838
2035	41	26	7	80.81773232
2036	41	26	7	82.45229196
2037	41	26	7	84.10906033
2038	41	26	7	85.78803745
2039	41	26	7	87.4892233
2040	41	26	7	89.21511789
2041	41	41	4	90.11007108
2042	41	41	4	90.98838072
2043	41	41	4	92.49294036
2044	44	41	4	94
